student_id,nombre,edad,genero,curso,asistencia_pct,tareas_entregadas,examen_parcial,examen_final,nota_final,estado
S1000,Estudiante_1,23,F,2º,84.2,8,4.11,5.17,4.87,Suspenso
S1001,Estudiante_2,20,M,3º,97.1,14,0.33,2.61,9.06,Aprobado
S1002,Estudiante_3,24,F,4º,86.0,11,3.45,9.96,4.34,Aprobado
S1003,Estudiante_4,21,F,1º,96.6,13,6.34,9.65,3.5,Aprobado
S1004,Estudiante_5,23,F,2º,94.0,11,6.81,5.58,6.45,Aprobado
S1005,Estudiante_6,19,M,4º,78.0,5,5.31,8.83,6.69,Aprobado
S1006,Estudiante_7,23,F,1º,63.8,5,4.48,1.89,8.64,Aprobado
S1007,Estudiante_8,24,M,4º,74.8,13,5.53,2.79,2.3,Aprobado
S1008,Estudiante_9,21,F,1º,86.8,13,5.93,7.0,4.99,Aprobado
S1009,Estudiante_10,20,M,2º,86.6,8,0.81,8.47,5.72,Aprobado
S1010,Estudiante_11,24,F,3º,83.7,13,3.7,8.56,7.69,Aprobado
S1011,Estudiante_12,24,M,1º,71.0,7,2.42,4.05,0.44,Aprobado
S1012,Estudiante_13,19,M,4º,82.4,11,8.03,8.88,9.95,Aprobado
S1013,Estudiante_14,22,F,2º,75.3,10,4.7,8.51,4.7,Suspenso
S1014,Estudiante_15,21,M,1º,98.9,12,9.83,9.36,2.8,Aprobado
S1015,Estudiante_16,18,F,4º,94.0,13,3.99,7.85,8.83,Aprobado
S1016,Estudiante_17,24,F,4º,88.9,9,8.16,6.69,7.48,Aprobado
S1017,Estudiante_18,22,F,4º,69.4,5,7.98,5.81,9.53,Aprobado
S1018,Estudiante_19,18,F,1º,70.2,7,1.51,3.72,3.31,Aprobado
S1019,Estudiante_20,21,F,1º,61.6,14,5.08,9.4,5.53,Aprobado
S1020,Estudiante_21,17,F,1º,88.4,12,6.96,9.74,5.72,Suspenso
S1021,Estudiante_22,22,F,3º,64.4,10,8.58,2.84,9.8,Suspenso
S1022,Estudiante_23,25,F,1º,77.6,12,3.26,3.05,0.75,Suspenso
S1023,Estudiante_24,17,F,1º,68.1,13,2.2,4.86,3.06,Aprobado
S1024,Estudiante_25,19,F,1º,95.8,8,7.11,4.48,1.91,Aprobado
S1025,Estudiante_26,23,F,3º,79.0,5,8.1,9.94,2.68,Aprobado
S1026,Estudiante_27,20,M,1º,82.5,5,3.49,1.76,4.85,Aprobado
S1027,Estudiante_28,25,M,4º,87.8,14,0.96,0.18,3.73,Aprobado
S1028,Estudiante_29,19,F,1º,65.6,8,9.41,4.94,3.95,Suspenso
S1029,Estudiante_30,21,F,4º,84.2,11,3.98,1.79,8.44,Aprobado
S1030,Estudiante_31,19,F,4º,81.6,6,5.18,3.66,9.3,Suspenso
S1031,Estudiante_32,23,F,4º,68.1,7,8.38,7.44,0.7,Aprobado
S1032,Estudiante_33,21,F,3º,97.7,5,6.76,7.21,2.09,Suspenso
S1033,Estudiante_34,25,F,3º,84.0,9,7.35,3.08,6.71,Aprobado
S1034,Estudiante_35,23,F,3º,87.8,5,2.09,5.43,3.59,Aprobado
S1035,Estudiante_36,18,F,1º,95.2,12,5.41,5.09,2.54,Aprobado
S1036,Estudiante_37,20,M,4º,85.0,5,6.96,6.36,2.95,Aprobado
S1037,Estudiante_38,25,F,3º,71.8,5,2.29,2.5,3.23,Aprobado
S1038,Estudiante_39,18,M,3º,64.2,6,1.75,5.9,8.49,Suspenso
S1039,Estudiante_40,25,F,1º,78.3,6,9.82,9.79,1.37,Suspenso
